year_month,Rate,Rate_scaled,Predicted_Rate_scaled,Predicted_Rate
2017-01,0.6496774193548387,0.11380414171448879,0.11851555235088881,0.6745600921658987
2017-02,0.6567857142857143,0.1151500620904184,0.1191885125388536,0.6781142396313363
2017-03,0.7861290322580645,0.13964057758565643,0.13537329885936872,0.7635919815668205
2017-04,0.896,0.16044410018073846,0.15556275019107033,0.8702198156682027
2017-05,0.9074193548387097,0.16260629836002766,0.16551537109684084,0.9227832258064517
2017-06,1.04,0.18770978569584304,0.18134583787955771,1.006389677419355
2017-07,1.1506451612903223,0.20865989799799545,0.19971955464122068,1.103427956989247
2017-08,1.1570967741935483,0.20988147889024927,0.20724327135661183,1.143163440860215
2017-09,1.153333333333333,0.20916889003643455,0.20931064958457465,1.1540820170559876
2017-10,1.1538709677419354,0.2092706884441224,0.2093203520259144,1.1541332591768634
2017-11,1.1568965517241379,0.20984356775911037,0.2116974105268495,1.1666873695052111
2017-12,1.2976666666666667,0.2364976905643056,0.2312534224200948,1.2699697795904916
2018-01,1.4172413793103449,0.25913856910945515,0.2512597403888146,1.3756304198080165
2018-02,1.4174074074074072,0.2591700057058522,0.26179981771809063,1.4312964009393156
2018-03,1.5061290322580645,0.2759690051611793,0.2754948511120638,1.5036248523050313
2018-04,1.6923333333333332,0.3112258656797774,0.30116664486918443,1.6392069303341152
2018-05,1.7,0.3126775109734057,0.3131659885967272,1.7025798279569875
2018-06,1.8015999999999999,0.3319149668646183,0.3258392469879238,1.7695119139784938
2018-07,1.91,0.3524399690162665,0.3475662571937427,1.8842601556064071
2018-08,1.914782608695652,0.3533455322429155,0.3539532029030805,1.9179919384231328
2018-09,1.9489473684210528,0.35981445998160916,0.36118926409299995,1.9562082088620754
2018-10,2.188181818181818,0.4051123160340821,0.3881009882219666,2.0983388100686495
2018-11,2.1990000000000003,0.40716068508477504,0.40555017535194005,2.190494312460996
2018-12,2.2670000000000003,0.42003614768913,0.4230012909888978,2.2826600000000017
2019-01,2.4,0.44521903778294175,0.44018245976417913,2.3733999999999984
2019-02,2.4,0.44521903778294175,0.44475865884696214,2.3975685714285695
2019-03,2.4038095238095236,0.44594035221455824,0.4461942876815071,2.40515064935065
2019-04,2.4231818181818183,0.4496084000344264,0.44816068918315216,2.4155359307359294
2019-05,2.3927272727272726,0.44384198295894656,0.4439662621568121,2.393383636363636
2019-06,2.3754999999999997,0.44058008434460794,0.44134572682674905,2.379543636363635
2019-07,2.402727272727273,0.44573543334194,0.43667527325931665,2.3548772727272724
2019-08,2.125,0.393149152250624,0.40221241070660135,2.172866363636364
2019-09,2.0524999999999998,0.379421636973922,0.3769530397126304,2.0394624401913872
2019-10,1.8299999999999998,0.3372923659523195,0.34390349744746557,1.8649157894736828
2019-11,1.5526315789473684,0.28477403164508225,0.30409218458833187,1.654657769423558
2019-12,1.5509523809523809,0.2844560838364092,0.28857039966298387,1.5726815789473678
2020-01,1.5519047619047621,0.28463641244431337,0.2798430903836752,1.5265894850763282
2020-02,1.5836842105263158,0.2906536933606933,0.25967843699100607,1.4200926179084086
2020-03,0.6254545454545455,0.10921766072811774,0.13665227273364577,0.7703467076782865
2020-04,0.04863636363636364,0.0,0.03412030377173677,0.22883809523809523
2020-05,0.05,0.00025819777949909715,0.002875724544131239,0.06382411067193675
2020-06,0.07681818181818181,0.005336087442981323,0.003798875155760616,0.068699604743083
2020-07,0.09347826086956522,0.008490590749035501,0.007748093051699966,0.0895568605307736
2020-08,0.09476190476190476,0.00873364235099324,0.008452693230923788,0.09327811029550158
2020-09,0.09,0.007831999311472588,0.008137146677543405,0.09161159420289855
2020-10,0.09,0.007831999311472588,0.007851435186603676,0.09010264792415823
2020-11,0.08684210526315789,0.0072340676115799415,0.007359728178351036,0.08750576441102759
2020-12,0.09,0.007831999311472588,0.007485198925534857,0.08816842105263159
2021-01,0.08526315789473683,0.0069351017616336216,0.0068756552187167605,0.08494919908466819
2021-02,0.07578947368421053,0.005141306661955692,0.005477534922185178,0.07756521739130436
2021-03,0.06956521739130435,0.003962774615790478,0.004480603950406333,0.0723000624089869
2021-04,0.06863636363636365,0.003786900765986749,0.003898730931325894,0.06922697940503435
2021-05,0.0595,0.0020569756433428,0.003111629644953998,0.06507001129305477
2021-06,0.07727272727272727,0.005422153369481023,0.005005569694957766,0.0750725974025974
2021-07,0.09857142857142859,0.009454956782609767,0.008305099611063982,0.09249861471861473
2021-08,0.09318181818181817,0.008434460796970479,0.008286992979479421,0.092402987012987
2021-09,0.07904761904761906,0.005758220320575087,0.006470313402923782,0.08280844155844155
2021-10,0.0795,0.005843876409329547,0.005877090729345467,0.07967541690193862
2021-11,0.0795,0.005843876409329547,0.0058431511747107975,0.07949616977225671
2021-12,0.07956521739130436,0.005856224998783853,0.0058563073227135476,0.07956565217391304
2022-01,0.08,0.0059385489284792155,0.0059286700569157755,0.07994782608695655
2022-02,0.08,0.0059385489284792155,0.005938548928479221,0.08000000000000003
2022-03,0.19956521739130434,0.02857762959470432,0.022279848973008973,0.1663043478260869
2022-04,0.33,0.053274808503313544,0.053386533836471524,0.33059006211180114
2022-05,0.7585714285714286,0.13442268206017238,0.12433787130631513,0.7053098757763979
2022-06,1.187142857142857,0.2155705556170312,0.19638882126566093,1.085837142857143
2022-07,1.6545,0.30406231173078585,0.26733640711642254,1.4605371428571423
2022-08,2.33,0.43196488510198816,0.4031384554854733,2.1777571428571427
2022-09,2.58,0.4793011446768225,0.4812396772117916,2.5902380952380937
2022-10,3.08,0.5739736638264911,0.5599125406251659,3.0057380952380925
2022-11,3.755,0.7017815646785437,0.6673117512776692,3.572952380952381
2022-12,4.091904761904762,0.76557280972463,0.7578304958540601,4.0510147869674205
2023-01,4.33,0.8106549617006628,0.7961857738416104,4.253582957393487
2023-02,4.565263157894737,0.8552008733426647,0.844131832967054,4.506803530565546
2023-03,4.65304347826087,0.8718216414643183,0.8705460075083958,4.64630639147275
2023-04,4.83,0.9053274808503313,0.9013021743730557,4.808740892745697
2023-05,5.045909090909091,0.9462087959376883,0.9364390196182196,4.994311349520043
2023-06,5.075714285714286,0.951852261689597,0.9532748576838427,5.083227532467531
2023-07,5.117,0.9596695068422412,0.9615137275152766,5.12674
2023-08,5.33,1.0000000000000002,0.9893577268759298,5.273794285714286
2023-09,5.33,1.0000000000000002,0.9983867802736897,5.321479999999999
2023-10,5.33,1.0000000000000002,1.0000000000000002,5.330000000000001
2023-11,5.33,1.0000000000000002,1.0000000000000002,5.330000000000001
2023-12,5.33,1.0000000000000002,1.0000000000000002,5.330000000000001
2024-01,5.33,1.0000000000000002,1.0000000000000002,5.330000000000001
2024-02,5.33,1.0000000000000002,1.0000000000000002,5.330000000000001
2024-03,5.33,1.0000000000000002,1.0000000000000002,5.330000000000001
2024-04,5.33,1.0000000000000002,1.0000000000000002,5.330000000000001
2024-05,5.33,1.0000000000000002,1.0000000000000002,5.330000000000001
2024-06,5.33,1.0000000000000002,1.0000000000000002,5.330000000000001
2024-07,5.33,1.0000000000000002,1.0000000000000002,5.330000000000001
2024-08,5.33,1.0000000000000002,0.9943196488510201,5.300000000000001
2024-09,5.13,0.9621309923401326,0.9697047938721064,5.170000000000002
2024-10,4.83,0.9053274808503313,0.9086559673130674,4.847578947368423
2024-11,4.645789473684211,0.8704481316899272,0.8797801371489657,4.695075187969924
2024-12,4.484761904761905,0.839958360485084,0.847451488692469,4.524335839598999
2024-12,,,,4.524335839598999,0.834839902929244,0.848209844537829,4.512946587345486
2025-01,,,,4.524335839598999
2025-02,,,,4.524335839598999
